region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
13115000201,Georgia,34.37112045,34.28723907,-85.11759186,-85.23165131,34.3307457,-85.16934204,1055.7,1,0.1497005988,100,0,4,4,0,0,8,8,2,2,0,1350.524658,1063.822833,0,0,2414.347491,2414.347491,"[[0,1]]",1.435537408,0,POINT(-85.1693420410156 34.3307456970215)
18057110512,Indiana,40.10179138,40.07638931,-86.0385437,-86.09033203,40.0928688,-86.06047821,983.45,1,0.9433962264,33.33333333,0,0,0,8,0,8,8,2,2,0,0,0,1996.069257,0,1996.069257,1996.069257,"[[0,1]]",1.652453838,0,POINT(-86.0604782104492 40.0928688049316)
32031980200,Nevada,39.63552856,39.54829025,-119.8450775,-120.0019531,39.58826447,-119.9291534,1315.8,2,66.66666667,100,0,9,0,0,17,8,26,2,6.5,0,3770.151343,0,0,6613.918689,2856.484558,10384.07003,"[[0,2]]",2.76121086,0,POINT(-119.929153442383 39.588264465332)
01055010700,Alabama,34.15229034,33.98768997,-85.82254028,-85.98731232,34.06508255,-85.89308167,1061.65,1,2.702702703,50,0,9,0,0,0,9,9,2.25,2.25,0,3091.955518,0,0,0,3091.955518,3091.955518,"[[0,1]]",1.838433707,0,POINT(-85.8930816650391 34.0650825500488)
42043024700,Pennsylvania,40.57188034,40.33639145,-76.53540802,-77.02700806,40.42552567,-76.81208801,987.7,2,1.048951049,66.66666667,0,19,0,4,10,9,33,2.25,8.25,0,5655.770197,0,1154.441217,2742.696204,2687.391833,9552.907617,"[[0,1],[5,1]]",6.070496707,0,POINT(-76.8120880126953 40.4255256652832)
47073050700,Tennessee,36.5322113,36.36339951,-82.61016846,-82.93398285,36.44636154,-82.76248932,1041.25,2,300,66.66666667,0,28,76,0,9,9,113,2.25,28.25,0,8530.17417,20432.74824,0,2526.477661,2526.477661,31489.40007,"[[0,1],[25,1]]",24.0458459,0,POINT(-82.7624893188477 36.446361541748)
51021040200,Virginia,37.27531052,36.95241928,-81.09156036,-81.46221161,37.11117554,-81.24263,862.75,1,5.555555556,50,9,0,0,0,0,9,9,2.25,2.25,2405.863367,0,0,0,0,2405.863367,2405.863367,"[[0,1]]",1.991703514,0,POINT(-81.2426300048828 37.1111755371094)
23031036001,Maine,43.19403076,43.0970993,-70.58585358,-70.70236206,43.14331436,-70.641922,991.1,3,0.5591054313,14.28571429,0,0,8,11,10,10,29,2.5,7.25,0,0,2250.248413,2787.280945,2810.583313,2787.280945,7848.112671,"[[0,3]]",3.398156676,0,POINT(-70.6419219970703 43.1433143615723)
27163070802,Minnesota,45.03026962,45.02140045,-92.79535675,-92.80728912,45.02539063,-92.80130005,981.75,2,100,66.66666667,0,0,0,22,2290,10,2312,2.5,578,0,0,0,6015.94151,649419.5988,2522.021594,655435.5403,"[[0,1],[575,1]]",332.1008222,0,POINT(-92.8013000488281 45.025390625)
36103159510,New York,40.814991,40.63782883,-72.72753906,-73.14807129,40.71470261,-72.97798157,1017.45,4,0.2493765586,100,0,0,0,0,162,10,162,2.5,40.5,0,0,0,0,45482.86686,3023.630542,45482.86686,"[[0,2],[15,1],[20,1]]",27.72006301,0,POINT(-72.9779815673828 40.7147026062012)
42101004102,Pennsylvania,39.92100906,39.91487122,-75.1556015,-75.16452789,39.91794205,-75.16005707,997.9,644,89.18918919,25.34435262,52,117,338,382,7779,10,8668,2.5,2167,13329.4876,38570.17504,101008.5109,109147.0674,2341371.372,3108.12876,2603426.613,"[[0,599],[5,38],[10,1],[15,1],[20,3],[35,1],[145,1]]",1654.37512,0,POINT(-75.1600570678711 39.9179420471191)
42101006200,Pennsylvania,39.92396927,39.91484833,-75.22753906,-75.23950958,39.91941452,-75.23352814,997.9,278,90.20100503,19.35933148,14,293,20,106,8312,10,8745,2.5,2186.25,3952.329834,92937.78611,5523.158472,32288.0502,2490861.63,3095.979944,2625562.955,"[[0,248],[5,13],[10,3],[15,2],[20,1],[25,1],[35,1],[40,1],[45,1],[65,2],[85,1],[95,1],[110,1],[185,1],[570,1]]",1668.441893,0,POINT(-75.233528137207 39.9194145202637)
42101007102,Pennsylvania,39.9450798,39.93674088,-75.2227478,-75.23362732,39.94092178,-75.2282486,997.9,364,85.86206897,20.88353414,18,175,429,724,7544,10,8890,2.5,2222.5,4719.213696,53890.31584,117890.5666,226233.0791,2257460.014,3058.600696,2660193.189,"[[0,337],[5,15],[10,1],[15,2],[20,2],[40,1],[45,1],[50,1],[75,1],[210,1],[340,2]]",1690.448044,0,POINT(-75.2282485961914 39.9409217834473)
