region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
20303,District of Columbia,38.8763708,38.8744456,-77.0037656,-77.0056046,38.8753456,-77.00452293,1037,0,33.33333333,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-77.0045229333333 38.8753456)
21532,Maryland,39.7222459,39.5697005,-78.860691,-79.0917115,39.6510141,-78.93090585,971.55,0,0.02081165453,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-78.9309058462436 39.6510141030593)
24069,Virginia,36.6551485,36.5416398,-79.5098977,-79.7025402,36.59878641,-79.64050317,1068.45,0,0.09025270758,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-79.6405031730145 36.5987864088448)
24724,West Virginia,37.3594197,37.3270225,-81.2821432,-81.33833,37.33193383,-81.31491699,1028.5,0,62.5,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-81.3149169875 37.331933825)
28357,North Carolina,34.9613578,34.8577964,-79.0039981,-79.1603869,34.91695226,-79.08162394,1095.65,0,0.08613264427,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-79.0816239424634 34.9169522628768)
29058,South Carolina,34.6403705,34.467606,-80.6644023,-80.8032155,34.59983159,-80.6894844,1100.75,0,0.2898550725,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-80.6894844002898 34.5998315869565)
33849,Florida,28.2591226,28.1232152,-82.0223645,-82.1011986,28.2285909,-82.0577975,1143.25,0,0.5291005291,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-82.0577974962962 28.2285909015873)
37015,Tennessee,36.4266557,36.1769419,-86.8947202,-87.2273279,36.29305566,-87.03926859,1025.1,0,0.1010917913,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-87.0392685870198 36.2930556630206)
43002,Ohio,40.0767285,40.0767285,-83.1785704,-83.1785704,40.0767285,-83.1785704,963.05,0,100,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-83.1785704 40.0767285)
48674,Michigan,43.61329,43.61329,-84.196802,-84.196802,43.61329,-84.196802,942.65,0,100,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-84.196802 43.61329)
49234,Michigan,42.1657736,42.0879439,-84.2968943,-84.4470905,42.11850408,-84.35293142,940.95,0,0.119047619,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-84.352931419881 42.118504082381)
57032,South Dakota,43.4657915,43.3601887,-96.5989036,-96.8057322,43.43228762,-96.69862046,1042.1,0,0.02876042565,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-96.6986204634454 43.4322876201898)
60950,Illinois,41.3084708,41.1961984,-87.7321522,-88.0314748,41.25022419,-87.85189305,965.6,0,0.01969279244,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-87.851893054549 41.2502241880662)
80290,Colorado,39.7445857,39.7437127,-104.9864392,-104.9869869,39.7441492,-104.9867131,1247.8,0,50,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-104.98671305 39.7441492)
80299,Colorado,39.7479604,39.7472109,-104.9910493,-104.9922361,39.74761291,-104.9917086,1247.8,0,100,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-104.991708622222 39.7476129111111)
84310,Utah,41.4534301,41.2435932,-111.6610187,-111.9779129,41.32721861,-111.8409619,1190,0,0.03324468085,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-111.840961927793 41.3272186066157)
92305,California,34.2303338,34.1201925,-116.7001465,-116.9888524,34.15891733,-116.934747,1437.35,0,2.852852853,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-116.934747015015 34.1589173315315)
07456,New Jersey,41.1454682,41.0613283,-74.2286396,-74.3303823,41.09235955,-74.2679535,993.65,0,0.02195389682,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-74.2679534991877 41.0923595480791)
10045,New York,40.709164,40.7088408,-74.0090684,-74.0094012,40.70902699,-74.00918641,957.95,0,100,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,0,0,POINT(-74.0091864142857 40.7090269857143)
19149,Pennsylvania,40.0512295,40.0268795,-75.0413555,-75.0925965,40.03740444,-75.06570517,997.9,4602,90.10262748,27.44349693,3408,5878,5145,3187,146724,11,164342,2.75,41085.5,903130.3144,1850868.942,1576590.637,858083.7263,43827579.56,3332.07865,49016253.18,"[[0,3888],[5,430],[10,80],[15,39],[20,24],[25,12],[30,7],[35,14],[40,7],[45,8],[50,3],[55,5],[60,6],[65,7],[70,1],[75,7],[80,2],[85,1],[90,4],[95,2],[100,4],[105,2],[110,1],[120,1],[125,3],[130,1],[135,1],[140,2],[145,1],[155,1],[160,2],[165,2],[190,2],[195,1],[220,1],[240,1],[285,2],[290,2],[300,1],[305,1],[320,1],[330,1],[340,1],[380,1],[385,1],[430,1],[445,1],[460,1],[475,1],[560,2],[565,1],[570,1],[575,1],[640,1],[735,1],[750,1],[830,1],[875,1],[1070,1],[1240,1],[1305,1],[1320,1]]",31147.8992,3,POINT(-75.0657051746548 40.0374044403417)
74050,Oklahoma,36.07767,36.0765719,-96.0668128,-96.0674023,36.07719323,-96.06710006,1097.35,7,100,77.77777778,0,34,27,75,20,11,156,2.75,39,0,11437.88441,8277.24729,24143.88145,6383.951978,3668.076221,50242.96512,"[[0,5],[5,1],[15,1]]",33.98807892,0,POINT(-96.0671000555555 36.0771932333333)
